regiao,estado,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Norte,RO,23/05/2021,21,1777225,225349,273,5611,7
Norte,RO,24/05/2021,21,1777225,226107,758,5636,25
Norte,RO,25/05/2021,21,1777225,226846,739,5656,20
Norte,RO,26/05/2021,21,1777225,227438,592,5675,19
Norte,RO,27/05/2021,21,1777225,227663,225,5680,5
Norte,RO,28/05/2021,21,1777225,228358,695,5706,26
Norte,RO,29/05/2021,21,1777225,228985,627,5720,14
Norte,AC,23/05/2021,21,881935,81413,65,1635,2
Norte,AC,24/05/2021,21,881935,81505,92,1642,7
Norte,AC,25/05/2021,21,881935,81651,146,1649,7
Norte,AC,26/05/2021,21,881935,81850,199,1652,3
Norte,AC,27/05/2021,21,881935,81980,130,1652,0
Norte,AC,28/05/2021,21,881935,82149,169,1655,3
Norte,AC,29/05/2021,21,881935,82207,58,1657,2
Norte,AM,23/05/2021,21,4144597,382487,337,12920,5
Norte,AM,24/05/2021,21,4144597,382845,358,12925,5
Norte,AM,25/05/2021,21,4144597,383380,535,12935,10
Norte,AM,26/05/2021,21,4144597,383980,600,12943,8
Norte,AM,27/05/2021,21,4144597,384634,654,12951,8
Norte,AM,28/05/2021,21,4144597,384997,363,12966,15
Norte,AM,29/05/2021,21,4144597,385828,831,12972,6
Norte,RR,23/05/2021,21,605761,102019,222,1602,0
Norte,RR,24/05/2021,21,605761,102102,83,1602,0
Norte,RR,25/05/2021,21,605761,102289,187,1610,8
Norte,RR,26/05/2021,21,605761,102582,293,1612,2
Norte,RR,27/05/2021,21,605761,102812,230,1612,0
Norte,RR,28/05/2021,21,605761,102930,118,1612,0
Norte,RR,29/05/2021,21,605761,103222,292,1635,23
Norte,PA,23/05/2021,21,8602865,508448,174,14233,21
Norte,PA,24/05/2021,21,8602865,508726,278,14264,31
Norte,PA,25/05/2021,21,8602865,509926,1200,14304,40
Norte,PA,26/05/2021,21,8602865,511821,1895,14367,63
Norte,PA,27/05/2021,21,8602865,513477,1656,14419,52
Norte,PA,28/05/2021,21,8602865,514862,1385,14447,28
Norte,PA,29/05/2021,21,8602865,516277,1415,14478,31
Norte,AP,23/05/2021,21,845731,110403,374,1657,1
Norte,AP,24/05/2021,21,845731,110654,251,1663,6
Norte,AP,25/05/2021,21,845731,110853,199,1666,3
Norte,AP,26/05/2021,21,845731,111079,226,1673,7
Norte,AP,27/05/2021,21,845731,111280,201,1683,10
Norte,AP,28/05/2021,21,845731,111524,244,1685,2
Norte,AP,29/05/2021,21,845731,111763,239,1688,3
Norte,TO,23/05/2021,21,1572866,173109,368,2776,3
Norte,TO,24/05/2021,21,1572866,173427,318,2781,5
Norte,TO,25/05/2021,21,1572866,174414,987,2796,15
